country,danceability,energy,valence,tempo
CA,0.741,0.697,0.774,0.361
CA,0.712,0.603,0.67,0.264
CA,0.533,0.907,0.7,0.547
CA,0.472,0.777,0.484,0.162
CA,0.53,0.406,0.338,0.36
CA,0.506,0.651,0.338,0.521
CA,0.612,0.807,0.398,0.403
CA,0.645,0.646,0.295,0.359
CA,0.502,0.707,0.447,0.162
CA,0.549,0.679,0.235,0.276
CA,0.532,0.767,0.755,0.421
CA,0.728,0.818,0.681,0.38
CA,0.486,0.617,0.417,0.478
CA,0.572,0.722,0.636,0.658
CA,0.857,0.62,0.796,0.382
CA,0.514,0.672,0.331,0.531
CA,0.708,0.731,0.379,0.365
CA,0.762,0.678,0.83,0.435
CA,0.628,0.795,0.813,0.339
CA,0.64,0.663,0.663,0.45
CA,0.575,0.664,0.437,0.43
CA,0.828,0.492,0.789,0.382
CA,0.741,0.754,0.717,0.419
CA,0.669,0.606,0.69,0.339
CA,0.492,0.416,0.297,0.247
CA,0.814,0.676,0.312,0.606
CA,0.467,0.247,0.126,0.531
CA,0.663,0.675,0.455,0.429
CA,0.551,0.402,0.382,0.292
CA,0.749,0.729,0.816,0.333
CA,0.392,0.37,0.512,0.0
CA,0.315,0.715,0.497,0.573
CA,0.599,0.946,0.747,0.55
CA,0.701,0.751,0.22,0.435
CA,0.727,0.782,0.655,0.381
CA,0.352,0.911,0.236,0.531
CA,0.915,0.453,0.287,0.488
CA,0.544,0.573,0.233,0.397
CA,0.882,0.764,0.886,0.489
CA,0.653,0.519,0.822,0.268
DE,0.954,0.746,0.886,0.403
DE,0.857,0.687,0.531,0.274
DE,0.862,0.549,0.415,0.381
DE,0.464,0.745,0.262,0.702
DE,0.727,0.782,0.655,0.381
DE,0.551,0.609,0.371,0.158
DE,0.758,0.898,0.52,0.467
DE,0.676,0.778,0.263,0.339
DE,0.87,0.366,0.715,0.264
DE,0.9,0.611,0.905,0.338
DE,0.802,0.878,0.818,0.461
DE,0.341,0.465,0.0944,0.399
DE,0.747,0.507,0.438,0.301
DE,0.681,0.417,0.158,0.691
DE,0.853,0.618,0.32,0.414
DE,0.737,0.725,0.539,0.255
DE,0.479,0.617,0.132,0.213
DE,0.741,0.754,0.717,0.419
DE,0.919,0.609,0.866,0.456
DE,0.739,0.766,0.82,0.451
DE,0.875,0.518,0.37,0.414
DE,0.599,0.946,0.747,0.55
DE,0.359,0.268,0.135,0.648
DE,0.701,0.76,0.69,0.296
DE,0.523,0.265,0.396,0.595
DE,0.706,0.8,0.629,0.275
DE,0.692,0.644,0.354,0.488
DE,0.936,0.878,0.902,0.419
DE,0.635,0.601,0.332,0.403
DE,0.646,0.668,0.64,0.226
DE,0.472,0.471,0.219,0.301
DE,0.794,0.5,0.659,0.274
DE,0.722,0.706,0.599,0.173
DE,0.87,0.536,0.736,0.355
DE,0.68,0.74,0.589,0.569
DE,0.614,0.732,0.133,0.247
DE,0.645,0.634,0.352,0.595
DE,0.61,0.926,0.861,0.663
DE,0.776,0.667,0.618,0.435
DE,0.681,0.714,0.554,0.435
DE,0.756,0.672,0.739,0.354
DE,0.741,0.62,0.934,0.365
DE,0.673,0.95,0.563,0.542
DE,0.788,0.936,0.844,0.547
DE,0.634,0.824,0.371,0.477
DE,0.746,0.692,0.316,0.435
DE,0.489,0.482,0.33,0.471
DE,0.704,0.787,0.31,0.381
DE,0.775,0.694,0.655,0.178
DE,0.573,0.476,0.209,0.221
DE,0.7,0.582,0.785,0.364
DE,0.924,0.637,0.599,0.322
DE,0.77,0.526,0.59,0.541
DE,0.703,0.795,0.513,0.542
DE,0.561,0.604,0.242,0.595
DE,0.521,0.592,0.535,0.584
DE,0.593,0.799,0.575,0.675
DE,0.708,0.714,0.781,0.328
DE,0.764,0.878,0.639,0.531
DE,0.975,0.488,0.952,0.381
DE,0.505,0.754,0.51,0.377
DE,0.883,0.938,0.863,0.59
DE,0.687,0.74,0.647,0.567
DE,0.638,0.717,0.422,0.498
DE,0.605,0.855,0.302,0.141
DE,0.4,0.915,0.871,0.216
DE,0.569,0.882,0.201,0.531
DE,0.853,0.516,0.454,0.221
DE,0.777,0.624,0.815,0.222
DE,0.55,0.5,0.351,0.355
DE,0.673,0.882,0.394,0.462
DE,0.359,0.254,0.111,0.185
DE,0.448,0.369,0.0998,0.67
DE,0.521,0.519,0.288,0.488
DE,0.442,0.538,0.139,0.396
DE,0.482,0.757,0.12,0.502
DE,0.727,0.544,0.197,0.338
DE,0.63,0.708,0.451,0.253
DE,0.611,0.757,0.279,0.418
DE,0.633,0.927,0.88,0.521
DE,0.552,0.702,0.564,0.648
DE,0.612,0.807,0.398,0.403
DE,0.486,0.617,0.417,0.478
DE,0.62,0.543,0.281,0.141
DE,0.898,0.472,0.214,0.28
DE,0.669,0.586,0.579,0.312
DE,0.573,0.902,0.876,0.191
DE,0.847,0.637,0.0509,0.381
DE,0.545,0.675,0.162,0.408
DE,0.874,0.869,0.726,0.413
DE,0.852,0.697,0.919,0.478
DE,0.725,0.833,0.568,0.399
DE,0.871,0.158,0.46,0.414
DE,0.771,0.741,0.19,0.382
DE,0.68,0.721,0.244,0.413
DE,0.555,0.216,0.504,0.163
DE,0.762,0.632,0.282,0.387
DE,0.259,0.275,0.0474,0.126
DE,0.602,0.91,0.228,0.424
DE,0.689,0.454,0.912,0.595
GB,0.747,0.507,0.438,0.301
GB,0.777,0.934,0.637,0.21
GB,0.7,0.582,0.785,0.364
GB,0.701,0.76,0.69,0.296
GB,0.669,0.586,0.579,0.312
GB,0.776,0.667,0.618,0.435
GB,0.722,0.706,0.599,0.173
GB,0.741,0.62,0.934,0.365
GB,0.644,0.874,0.753,0.424
GB,0.635,0.601,0.332,0.403
GB,0.664,0.5,0.801,0.37
GB,0.472,0.471,0.219,0.301
GB,0.793,0.779,0.687,0.499
GB,0.756,0.672,0.739,0.354
GB,0.561,0.604,0.242,0.595
GB,0.742,0.757,0.957,0.488
GB,0.804,0.957,0.962,0.414
GB,0.521,0.592,0.535,0.584
GB,0.61,0.926,0.861,0.663
GB,0.552,0.702,0.564,0.648
