country,danceability,energy,valence,tempo
GB,0.936,0.878,0.902,0.4
GB,0.701,0.751,0.22,0.4
GB,0.852,0.697,0.919,0.4
GB,0.66,0.756,0.838,0.3
GB,0.657,0.82,0.709,0.4
GB,0.555,0.216,0.504,0.1
GB,0.611,0.911,0.495,0.3
GB,0.681,0.714,0.554,0.4
GB,0.492,0.416,0.297,0.2
GB,0.532,0.623,0.403,0.2
GB,0.505,0.754,0.51,0.3
GB,0.467,0.247,0.126,0.5
GB,0.828,0.492,0.789,0.3
GB,0.508,0.411,0.34,0.4
GB,0.429,0.453,0.155,0.1
GB,0.542,0.905,0.374,0.5
GB,0.491,0.583,0.908,0.5
GB,0.578,0.866,0.619,0.4
GB,0.699,0.83,0.889,0.3
GB,0.671,0.753,0.543,0.4
GB,0.578,0.509,0.586,0.3
GB,0.483,0.731,0.484,0.2
GB,0.645,0.646,0.295,0.3
GB,0.394,0.808,0.736,0.2
GB,0.638,0.717,0.422,0.4
GB,0.687,0.617,0.665,0.3
GB,0.717,0.455,0.389,0.4
GB,0.359,0.543,0.453,0.1
GB,0.429,0.661,0.285,0.6
GB,0.633,0.931,0.566,0.2
GB,0.556,0.319,0.294,0.4
GB,0.442,0.538,0.139,0.3
GB,0.726,0.769,0.733,0.2
GB,0.369,0.192,0.148,0.6
GB,0.525,0.66,0.458,0.4
GB,0.853,0.618,0.32,0.4
GB,0.743,0.675,0.59,0.2
IN,0.676,0.745,0.842,0.2
IN,0.464,0.745,0.262,0.7
IN,0.677,0.623,0.616,0.5
IN,0.273,0.405,0.534,0.2
IN,0.84,0.715,0.542,0.2
IN,0.413,0.406,0.281,0.1
IN,0.783,0.817,0.553,0.4
IN,0.617,0.479,0.615,0.4
IN,0.763,0.587,0.794,0.3
IN,0.616,0.669,0.475,0.3
IN,0.848,0.512,0.881,0.5
IN,0.578,0.444,0.36,0.1
IN,0.575,0.81,0.751,0.5
IN,0.664,0.553,0.604,0.2
IN,0.612,0.595,0.435,0.2
IN,0.635,0.273,0.462,0.2
IN,0.742,0.627,0.356,0.2
IN,0.82,0.661,0.953,0.2
IN,0.385,0.464,0.15,0.4
IN,0.634,0.529,0.409,0.2
IN,0.669,0.683,0.726,0.2
IN,0.62,0.426,0.548,0.2
IN,0.562,0.519,0.415,0.3
IN,0.864,0.733,0.183,0.2
IN,0.74,0.795,0.647,0.2
IN,0.791,0.558,0.872,0.2
IN,0.529,0.451,0.309,0.2
IN,0.483,0.468,0.319,0.4
IN,0.464,0.417,0.479,0.1
IN,0.591,0.599,0.728,0.2
IN,0.46,0.302,0.176,0.4
IN,0.77,0.838,0.187,0.2
IN,0.611,0.566,0.312,0.1
IN,0.22,0.362,0.198,0.1
IN,0.645,0.611,0.353,0.2
IN,0.744,0.328,0.532,0.2
IN,0.376,0.643,0.646,0.4
IN,0.302,0.493,0.457,0.2
IN,0.589,0.885,0.831,0.2
IN,0.567,0.54,0.331,0.2
IN,0.631,0.631,0.697,0.2
IN,0.535,0.765,0.373,0.7
IN,0.494,0.899,0.559,0.1
IN,0.476,0.124,0.19,0.2
MX,0.722,0.74,0.893,0.4
MX,0.69,0.482,0.356,0.2
MX,0.786,0.786,0.611,0.2
MX,0.792,0.516,0.916,0.3
MX,0.698,0.891,0.696,0.4
MX,0.911,0.761,0.948,0.4
MX,0.808,0.944,0.937,0.4
MX,0.583,0.774,0.685,0.3
MX,0.707,0.683,0.545,0.2
MX,0.763,0.626,0.78,0.2
MX,0.774,0.86,0.446,0.2
MX,0.675,0.725,0.469,0.2
MX,0.909,0.762,0.843,0.2
MX,0.497,0.644,0.779,0.6
MX,0.76,0.747,0.884,0.4
MX,0.831,0.643,0.57,0.2
MX,0.618,0.662,0.426,0.5
MX,0.82,0.612,0.798,0.4
MX,0.689,0.577,0.382,0.5
MX,0.794,0.5,0.659,0.2
MX,0.841,0.774,0.494,0.2
MX,0.726,0.808,0.814,0.4
MX,0.664,0.769,0.542,0.4
MX,0.761,0.658,0.895,0.4
MX,0.793,0.476,0.578,0.4
MX,0.834,0.763,0.633,0.4
MX,0.716,0.536,0.359,0.2
MX,0.743,0.544,0.637,0.2
MX,0.521,0.592,0.535,0.5
MX,0.783,0.685,0.54,0.3
MX,0.819,0.675,0.602,0.2
MX,0.725,0.709,0.648,0.2
MX,0.758,0.525,0.976,0.2
MX,0.575,0.679,0.601,0.3
MX,0.717,0.837,0.919,0.4
MX,0.845,0.731,0.615,0.3
MX,0.717,0.704,0.717,0.4
MX,0.725,0.801,0.642,0.4
MX,0.778,0.835,0.666,0.4
MX,0.912,0.7,0.535,0.3
MX,0.717,0.656,0.695,0.6
MX,0.715,0.846,0.909,0.2
MX,0.735,0.502,0.947,0.3
MX,0.811,0.614,0.662,0.4
MX,0.732,0.573,0.882,0.2
MX,0.639,0.676,0.852,0.7
MX,0.661,0.808,0.7,0.5
MX,0.857,0.705,0.874,0.3
MX,0.793,0.761,0.635,0.4
MX,0.561,0.643,0.842,0.5
MX,0.869,0.694,0.511,0.2
NG,0.502,0.634,0.645,0.2
NG,0.455,0.812,0.823,0.2
NG,0.784,0.512,0.842,0.3
NG,0.49,0.651,0.567,0.1
NG,0.562,0.903,0.313,0.3
NG,0.774,0.847,0.891,0.3
NG,0.533,0.425,0.464,0.1
NG,0.763,0.754,0.592,0.3
NG,0.668,0.766,0.573,1
NG,0.743,0.685,0.555,0.5
NG,0.537,0.424,0.455,0.2
NG,0.822,0.897,0.698,0.3
NG,0.821,0.619,0.388,0.3
NG,0.769,0.661,0.843,0.4
NG,0.8,0.898,0.67,0.3
NG,0.72,0.744,0.373,0.3
NG,0.621,0.59,0.421,0.3
NG,0.887,0.657,0.932,0.2
NG,0.507,0.505,0.252,0.3
NG,0.66,0.609,0.54,0.2
NG,0.691,0.799,0.972,0.3
NG,0.78,0.652,0.577,0.3
NG,0.847,0.72,0.789,0.3
NG,0.621,0.699,0.49,0
NG,0.832,0.461,0.592,0.3
NG,0.695,0.664,0.807,0.2
NG,0.709,0.792,0.288,0.2
NG,0.498,0.261,0.401,0.4
NG,0.906,0.751,0.54,0.3
NG,0.826,0.841,0.744,0.4
NG,0.829,0.657,0.811,0.3
NG,0.764,0.829,0.614,0.3
NG,0.753,0.693,0.869,0.3
NG,0.594,0.789,0.351,0.3
NG,0.765,0.847,0.794,0.2
NG,0.685,0.624,0.618,0.2
NG,0.413,0.861,0.468,0.1
NG,0.759,0.905,0.375,0.4
NG,0.559,0.62,0.532,0.5
NG,0.806,0.744,0.765,0.3
NG,0.742,0.662,0.878,0.2
NG,0.715,0.473,0.446,0.1
NG,0.811,0.754,0.451,0.3
NG,0.631,0.363,0.245,0.3
NG,0.724,0.809,0.606,0.2
NG,0.735,0.505,0.613,0.4
NG,0.603,0.513,0.467,0.2
NG,0.854,0.731,0.598,0.3
NG,0.569,0.5,0.118,0.3
NG,0.707,0.702,0.606,0.3
NG,0.882,0.764,0.886,0.4
NG,0.801,0.562,0.255,0.2
NG,0.623,0.737,0.409,0.5
NG,0.811,0.276,0.786,0.2
NG,0.823,0.415,0.488,0.3
SG,0.66,0.756,0.838,0.3
SG,0.747,0.507,0.438,0.3
SG,0.669,0.586,0.579,0.3
SG,0.7,0.582,0.785,0.3
SG,0.464,0.745,0.262,0.7
SG,0.645,0.646,0.295,0.3
SG,0.477,0.854,0.314,0.4
SG,0.79,0.831,0.872,0.4
SG,0.797,0.668,0.69,0.4
SG,0.852,0.697,0.919,0.4
SG,0.892,0.531,0.209,0.1
SG,0.504,0.386,0.281,0.7
SG,0.74,0.697,0.732,0.4
SG,0.668,0.628,0.568,0.4
SG,0.415,0.381,0.241,0.3
SG,0.644,0.735,0.418,0.2
SG,0.804,0.957,0.962,0.4
SG,0.544,0.401,0.163,0.4
SG,0.53,0.406,0.338,0.3
SG,0.672,0.52,0.37,0.3
SG,0.61,0.434,0.354,0.2
SG,0.504,0.308,0.121,0.3
SG,0.924,0.739,0.861,0.2
SG,0.853,0.56,0.86,0.4
SG,0.709,0.49,0.32,0.4
SG,0.601,0.741,0.441,0.5
SG,0.591,0.764,0.478,0.6
SG,0.601,0.271,0.411,0.5
SG,0.701,0.751,0.22,0.4
SG,0.467,0.247,0.126,0.5
SG,0.744,0.747,0.368,0.3
SG,0.473,0.223,0.367,0.3
SG,0.532,0.623,0.403,0.2
SG,0.429,0.661,0.285,0.6
SG,0.616,0.688,0.444,0.3
SG,0.689,0.694,0.482,0.2
SG,0.506,0.362,0.385,0.1
SG,0.711,0.809,0.816,0.3
SG,0.59,0.727,0.356,0.3
SG,0.699,0.708,0.863,0.3
SG,0.54,0.54,0.372,0.1
SG,0.575,0.648,0.466,0.1
SG,0.453,0.366,0.327,0.4
SG,0.774,0.728,0.461,0.4
SG,0.492,0.416,0.297,0.2
SG,0.799,0.675,0.594,0.3
SG,0.453,0.655,0.366,0.6
SG,0.5,0.71,0.419,0.2
SG,0.644,0.874,0.753,0.4
US,0.7,0.582,0.785,0.3
US,0.66,0.756,0.838,0.3
US,0.747,0.507,0.438,0.3
US,0.669,0.586,0.579,0.3
US,0.898,0.472,0.214,0.2
US,0.701,0.76,0.69,0.2
US,0.852,0.697,0.919,0.4
US,0.611,0.911,0.495,0.3
US,0.429,0.453,0.155,0.1
US,0.776,0.667,0.618,0.4
US,0.464,0.745,0.262,0.7
US,0.486,0.702,0.382,0.1
US,0.664,0.5,0.801,0.3
US,0.561,0.604,0.242,0.5
US,0.621,0.779,0.399,0.6
US,0.369,0.192,0.148,0.6
US,0.478,0.906,0.552,0.6
US,0.804,0.957,0.962,0.4
US,0.482,0.757,0.12,0.5
US,0.487,0.658,0.282,0.5
US,0.492,0.519,0.435,0.1
US,0.558,0.559,0.62,0.1
US,0.857,0.62,0.796,0.3
US,0.555,0.216,0.504,0.1
US,0.53,0.406,0.338,0.3
US,0.659,0.789,0.468,0.4
US,0.609,0.758,0.236,0.4
US,0.504,0.386,0.281,0.7
US,0.61,0.926,0.861,0.6
US,0.506,0.651,0.338,0.5
US,0.552,0.702,0.564,0.6
US,0.551,0.801,0.625,0.4
US,0.689,0.454,0.912,0.5
US,0.533,0.907,0.7,0.5
US,0.502,0.707,0.447,0.1
US,0.645,0.634,0.352,0.5
US,0.728,0.818,0.681,0.3
US,0.635,0.601,0.332,0.4
US,0.555,0.599,0.415,0.2
US,0.544,0.573,0.233,0.3
US,0.645,0.646,0.295,0.3
US,0.514,0.672,0.331,0.5
US,0.411,0.619,0.337,0.6
US,0.892,0.531,0.209,0.1
US,0.57,0.545,0.344,0.3
US,0.572,0.722,0.636,0.6
US,0.559,0.871,0.572,0.3
US,0.504,0.308,0.121,0.3
US,0.578,0.509,0.586,0.3
US,0.505,0.754,0.51,0.3
US,0.722,0.74,0.893,0.4
US,0.936,0.878,0.902,0.4
US,0.551,0.402,0.382,0.2
US,0.597,0.972,0.607,0.4
US,0.352,0.911,0.236,0.5
US,0.847,0.622,0.22,0.4
US,0.491,0.583,0.908,0.5
NZ,0.777,0.934,0.637,0.2
NZ,0.852,0.697,0.919,0.4
NZ,0.741,0.62,0.934,0.3
NZ,0.644,0.874,0.753,0.4
NZ,0.898,0.472,0.214,0.2
NZ,0.472,0.471,0.219,0.3
NZ,0.756,0.672,0.739,0.3
NZ,0.635,0.601,0.332,0.4
NZ,0.664,0.5,0.801,0.3
NZ,0.432,0.583,0.544,0.7
NZ,0.742,0.757,0.957,0.4
NZ,0.936,0.878,0.902,0.4
NZ,0.527,0.551,0.443,0.5
NZ,0.828,0.492,0.789,0.3
NZ,0.467,0.247,0.126,0.5
NZ,0.804,0.957,0.962,0.4
NZ,0.684,0.607,0.498,0.1
NZ,0.552,0.702,0.564,0.6
NZ,0.893,0.4,0.945,0.4
NZ,0.875,0.518,0.37,0.4
NZ,0.542,0.905,0.374,0.5
NZ,0.743,0.675,0.59,0.2
NZ,0.611,0.911,0.495,0.3
NZ,0.645,0.646,0.295,0.3
NZ,0.411,0.619,0.337,0.6
NZ,0.492,0.416,0.297,0.2
NZ,0.706,0.8,0.629,0.2
NZ,0.731,0.861,0.759,0.4
NZ,0.545,0.545,0.549,0.5
NZ,0.53,0.406,0.338,0.3
NZ,0.504,0.386,0.281,0.7
NZ,0.392,0.37,0.512,0
NZ,0.644,0.735,0.418,0.2
NZ,0.578,0.509,0.586,0.3
NZ,0.569,0.882,0.201,0.5
NZ,0.612,0.807,0.398,0.4
NZ,0.558,0.559,0.62,0.1
NZ,0.857,0.62,0.796,0.3
NZ,0.599,0.946,0.747,0.5
NZ,0.69,0.521,0.494,0.2
NZ,0.721,0.339,0.2,0.4
NZ,0.674,0.832,0.981,0.4
NZ,0.717,0.455,0.389,0.4
NZ,0.582,0.909,0.868,0.3
NZ,0.532,0.767,0.755,0.4
NZ,0.671,0.373,0.732,0.2
NZ,0.575,0.664,0.437,0.4
NZ,0.7,0.425,0.521,0.3
NZ,0.814,0.676,0.312,0.6
NZ,0.653,0.519,0.822,0.2
NZ,0.264,0.64,0.19,0.1
NZ,0.527,0.942,0.495,0.5
NZ,0.578,0.866,0.619,0.4
NZ,0.559,0.551,0.392,0.5
NZ,0.635,0.574,0.592,0.5
NZ,0.853,0.56,0.86,0.4
NZ,0.882,0.764,0.886,0.4
NZ,0.68,0.246,0.388,0.3
NZ,0.652,0.698,0.47,0.2
NZ,0.673,0.886,0.795,0.2
NZ,0.913,0.603,0.497,0.3
NZ,0.617,0.635,0.446,0.2
ZA,0.747,0.507,0.438,0.3
ZA,0.888,0.403,0.597,0.3
ZA,0.571,0.722,0.726,0.1
ZA,0.859,0.874,0.627,0.3
ZA,0.807,0.291,0.351,0.3
ZA,0.472,0.471,0.219,0.3
ZA,0.802,0.805,0.551,0.3
ZA,0.806,0.767,0.795,0.3
ZA,0.806,0.682,0.582,0.3
ZA,0.852,0.697,0.919,0.4
ZA,0.722,0.706,0.599,0.1
ZA,0.795,0.71,0.579,0.3
ZA,0.642,0.471,0.635,0.6
ZA,0.741,0.62,0.934,0.3
ZA,0.619,0.903,0.964,0.5
ZA,0.84,0.476,0.767,0.4
ZA,0.726,0.786,0.292,0.3
ZA,0.902,0.363,0.274,0.3
ZA,0.703,0.562,0.888,0.1
ZA,0.526,0.545,0.432,0.2
ZA,0.406,0.5,0.0905,0.5
ZA,0.794,0.436,0.353,0.3
ZA,0.765,0.356,0.189,0.2
ZA,0.669,0.586,0.579,0.3
ZA,0.569,0.596,0.754,0.2
ZA,0.857,0.564,0.505,0.3
ZA,0.842,0.845,0.688,0.3
ZA,0.922,0.473,0.727,0.3
ZA,0.885,0.49,0.184,0.3
ZA,0.73,0.453,0.921,0.3
ZA,0.448,0.369,0.0998,0.6
ZA,0.892,0.531,0.209,0.1
ZA,0.609,0.444,0.166,0.3
ZA,0.58,0.645,0.171,0.3
ZA,0.604,0.403,0.267,0.3
ZA,0.467,0.247,0.126,0.5
ZA,0.796,0.468,0.0677,0.3
ZA,0.477,0.591,0.354,0.3
ZA,0.645,0.792,0.679,0.5
ZA,0.351,0.296,0.12,0.3
ZA,0.836,0.26,0.37,0.3
ZA,0.721,0.339,0.2,0.4
ZA,0.533,0.492,0.323,0.4
